,District,Assemby Constituency,AC No.,Type,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
100,Malappuram,Perinthalmanna,38,GEN,Najeeb Kanthapuram,Indian_Union_Muslim_League,203783,164749,80.8,38,0.0
69,Kozhikode,Kuttiadi,21,GEN,K P Kunhammed Kutti Master,Communist_Party_Of_India_(Marxist),189843,169483,89.3,333,0.2
75,Kasaragod,Manjeshwar,1,GEN,A K M Ashraf,Indian_Union_Muslim_League,212108,172039,81.1,745,0.4
123,Thrissur,Thrissur,67,GEN,P Balachandran,Communist_Party_Of_India,169095,128514,76.0,946,0.7
113,Malappuram,Tanur,44,GEN,V.Abdurahiman,National_Secular_Conference,181753,152234,83.8,985,0.6
122,Ernakulam,Thripunithura,81,GEN,K. Babu,Indian_National_Congress,196609,155208,78.9,992,0.6
14,Thrissur,Chalakkudy,72,GEN,Saneeshkumar Joseph,Indian_National_Congress,185970,142154,76.4,1057,0.7
17,Kollam,Chavara,117,GEN,Dr.Sujith Vijayanpillai,Independent,174993,142179,81.2,1096,0.8
109,Pathanamthitta,Ranni,112,GEN,Adv. Pramod Narayan,Kerala_Congress(M),191106,127346,66.6,1285,1.0
42,Kannur,Kannur,11,GEN,Ramachandran Kadannappalli,Congress_(Secular),165259,133585,80.8,1745,1.3
97,Idukki,Peerumade,92,GEN,Vazhoor Soman,Communist_Party_Of_India,166943,126890,76.0,1835,1.4
51,Kollam,Kollam,124,GEN,M Mukesh,Communist_Party_Of_India_(Marxist),170129,129701,76.2,2072,1.6
116,Malappuram,Thavanur,47,GEN,Dr.K.T.Jaleel,Independent,189489,150948,79.7,2564,1.7
87,Malappuram,Nilambur,35,GEN,P.V. Anvar,Independent,208082,172698,83.0,2700,1.6
65,Ernakulam,Kunnathunad,84,SC,Adv. P.V.Sreenijin,Communist_Party_Of_India_(Marxist),177018,154359,87.2,2715,1.8
66,Kollam,Kunnathur,118,SC,Kovoor Kunjumon,Independent,202165,160062,79.2,2790,1.7
101,Ernakulam,Perumbavoor,74,GEN,Adv Eldose P Kunnapillil,Indian_National_Congress,174915,143468,82.0,2899,2.0
0,Pathanamthitta,Adoor,115,SC,Chittayam Gopakumar,Communist_Party_Of_India,204205,154817,75.8,2919,1.9
124,Palakkad,Thrithala,49,GEN,M. B Rajesh,Communist_Party_Of_India_(Marxist),183566,151884,82.7,3016,2.0
99,Kannur,Peravoor,16,GEN,Adv. Sunny Joseph,Indian_National_Congress,170991,141734,82.9,3172,2.2
91,Palakkad,Palakkad,56,GEN,Shafi Parambil,Indian_National_Congress,179685,141576,78.8,3859,2.7
85,Thiruvananthapuram,Nemom,135,GEN,V.Sivankutty,Communist_Party_Of_India_(Marxist),193199,145261,75.2,3949,2.7
81,Kozhikode,Nadapuram,22,GEN,E. K. Vijayan,Communist_Party_Of_India,203567,175187,86.1,4035,2.3
35,Kottayam,Kaduthuruthy,94,GEN,Adv. Mons Joseph,Kerala_Congress,181208,130680,72.1,4256,3.3
62,Kollam,Kundara,123,GEN,P.C.Vishnunadh,Indian_National_Congress,199981,155691,77.9,4523,2.9
118,Kozhikode,Thiruvambady,32,GEN,Linto Joseph,Communist_Party_Of_India_(Marxist),170541,142590,83.6,4643,3.3
8,Thiruvananthapuram,Aruvikkara,136,GEN,Adv. G. Steephen,Communist_Party_Of_India_(Marxist),190088,144808,76.2,5046,3.5
39,Wayanad,Kalpetta,19,GEN,Adv.T Siddiqu,Indian_National_Congress,195211,151381,77.5,5470,3.6
68,Alappuzha,Kuttanad,106,GEN,Thomas K Thomas,Nationalist_Congress_Party,163667,125113,76.4,5516,4.4
32,Idukki,Idukki,91,GEN,Roshy Augustine,Kerala_Congress(M),181416,130674,72.0,5573,4.3
77,Palakkad,Mannarkad,54,GEN,Advocate. N. Samsudheen,Indian_Union_Muslim_League,190489,151342,79.4,5870,3.9
34,Thrissur,Irinjalakkuda,70,GEN,R Bindu,Communist_Party_Of_India_(Marxist),187887,154589,82.3,5949,3.8
15,Kottayam,Changanassery,99,GEN,Adv. Job Maichil,Kerala_Congress(M),166961,123151,73.8,6059,4.9
10,Kannur,Azhikode,10,GEN,K V Sumesh,Communist_Party_Of_India_(Marxist),172328,144380,83.8,6141,4.3
20,Alappuzha,Cherthala,103,GEN,P Prasad,Communist_Party_Of_India,205890,177495,86.2,6148,3.5
80,Ernakulam,Muvattupuzha,86,GEN,Dr. Mathew Kuzhalnadan,Indian_National_Congress,179830,143927,80.0,6161,4.3
76,Malappuram,Mankada,39,GEN,Manjalamkuzhi Ali,Indian_Union_Muslim_League,203235,167669,82.5,6246,3.7
